id,model,year_of_manufacture,mileage,count_trip,last_maintenance_date,to
54,Kia Rio,2023,51778,104922,2024-05-13,0
55,Chevrolet Lacetti,2017,283220,563955,2024-11-10,0
56,Chery Tiggo 7 Pro,2021,214461,362790,2024-04-01,0
57,Volkswagen Polo,2018,375745,538425,2024-09-27,0
58,Chevrolet Aveo,2020,222524,432324,2024-12-07,0
59,Chevrolet Lacetti,2016,355565,532680,2024-10-16,0
60,EXEED TXL,2024,25607,1048,2024-10-18,0
61,Volkswagen Polo,2015,324115,576180,2024-12-08,0
62,LADA (VAZ) Vesta,2024,11471,19041,2024-10-01,0
63,Chery Tiggo 7 Pro,2017,272970,594850,2024-08-13,0
64,Chery Tiggo 7 Pro,2024,17248,16171,2024-12-10,0
65,Chery Tiggo 4,2020,290528,490780,2024-11-17,0
66,Chery Tiggo 4,2020,250964,517824,2024-03-20,0
67,Chery Tiggo 7 Pro,2015,272850,668045,2024-08-16,0
68,Haval F7,2016,355915,705995,2024-07-24,0
69,Chevrolet Lacetti,2017,323605,643980,2024-10-31,0
70,Chevrolet Lacetti,2021,221481,375456,2024-08-09,0
71,Chery Tiggo 7 Pro,2023,69240,134449,2024-09-23,0
72,Chery Tiggo 7 Pro,2018,303065,719740,2024-06-22,0
73,Chery Tiggo 7 Pro,2022,147088,209972,2024-10-31,0
74,Hyundai Accent,2017,299100,740135,2024-07-29,0
75,Volkswagen Polo,2020,275000,487340,2024-10-13,0
76,KIA Spectra,2020,283872,528348,2024-11-17,0
77,Geely Tugella,2015,304200,561110,2024-10-21,0
78,Kia Rio,2020,206476,522824,2024-03-27,0
79,Kia Rio,2022,122654,216374,2024-12-11,0
80,Chery Tiggo 7 Pro,2024,10116,26451,2024-02-12,0
81,Chevrolet Lacetti,2021,154698,447927,2024-03-26,0
82,Hyundai Accent,2016,335790,637085,2024-11-22,0
83,KIA Spectra,2020,295252,475232,2024-01-31,0
84,LADA (VAZ) Vesta,2020,227000,488832,2024-11-21,0
85,Volkswagen Polo,2014,292485,558705,2024-10-10,0
86,Renault Logan,2024,15404,28485,2024-03-29,0
87,Chery Tiggo 7 Pro,2022,136996,253922,2024-06-30,0
88,Hyundai Accent,2024,24964,3397,2024-07-07,0
89,KIA Spectra,2024,14157,8583,2024-07-25,0
90,Geely Tugella,2013,286930,707445,2024-11-19,0
91,Hyundai Accent,2019,260855,566770,2024-07-20,0
92,Volkswagen Polo,2020,246100,536136,2024-06-08,0
93,Renault Logan,2023,59861,142183,2024-04-20,0
94,EXEED TXL,2019,392010,560630,2024-07-29,0
95,Chery Tiggo 7 Pro,2024,1180,8269,2024-10-23,0
96,Hyundai Solaris,2017,301550,506685,2024-10-13,0
97,Hyundai Solaris,2021,165066,415830,2024-08-12,0
98,Geely Tugella,2018,396945,684765,2024-10-15,0
99,Volkswagen Polo,2023,74374,143223,2024-01-09,0
100,Chery Tiggo 7 Pro,2023,78883,137472,2024-12-08,0
101,Nissan Note,2019,286160,598950,2024-10-05,0
102,Chery Tiggo 4,2024,2530,11096,2024-02-02,0
103,Haval F7,2021,212409,308787,2024-03-06,0
104,Nissan Note,2016,364355,717960,2024-07-04,0
105,Chevrolet Aveo,2024,20626,6283,2024-05-27,0
106,Chevrolet Lacetti,2024,4767,5323,2024-06-22,0
107,Kia Rio,2023,74128,106841,2024-01-02,0
108,Volkswagen Polo,2021,231846,441204,2024-02-26,0
109,Volkswagen Polo,2016,250525,549685,2024-10-01,0
110,Hyundai Solaris,2023,61846,140764,2024-10-24,0
111,Renault Logan,2016,254180,732230,2024-08-09,0
112,Chevrolet Aveo,2022,123938,202900,2024-02-11,0
113,KIA Spectra,2023,75207,123182,2024-11-27,0
114,KIA Spectra,2021,221865,338487,2024-04-21,0
115,Kia Rio,2016,257330,616235,2024-08-19,0
116,Volkswagen Polo,2024,16711,26807,2024-09-08,0
117,Chevrolet Aveo,2023,73771,117753,2024-01-10,0
118,KIA Spectra,2023,63661,108297,2024-02-11,0
119,Chery Tiggo 4,2021,229416,394200,2024-03-13,0
120,Volkswagen Polo,2014,355520,512300,2024-07-18,0
121,Chevrolet Aveo,2021,185364,370965,2024-05-25,0
122,Geely Tugella,2022,157070,294990,2024-06-06,0
123,Geely Tugella,2013,278985,534165,2024-07-07,0
124,EXEED TXL,2024,25466,3422,2024-06-17,0
125,Haval F7,2022,130504,211756,2024-11-11,0
126,Nissan Note,2024,10947,12220,2024-11-12,0
127,LADA (VAZ) Vesta,2018,291505,519985,2024-09-15,0
128,KIA Spectra,2015,318810,534180,2024-10-05,0
129,Hyundai Accent,2022,123746,239610,2024-01-20,0
130,KIA Spectra,2018,286825,530795,2024-09-26,0
131,KIA Spectra,2017,326540,698480,2024-10-10,0
132,EXEED TXL,2018,369680,560075,2024-12-07,0
133,EXEED TXL,2015,354770,607825,2024-09-22,0
134,Hyundai Solaris,2013,314285,629615,2024-08-16,0
135,LADA (VAZ) Vesta,2016,394815,594040,2024-11-04,0
136,LADA (VAZ) Vesta,2023,75909,145997,2024-04-07,0
137,Renault Logan,2021,223545,338178,2024-01-18,0
138,Renault Logan,2021,187233,304260,2024-01-14,0
139,Chevrolet Lacetti,2015,352220,557410,2024-08-02,0
140,Chery Tiggo 4,2018,383765,667915,2024-11-06,0
141,Chevrolet Lacetti,2023,61310,124433,2024-03-07,0
142,Haval F7,2020,272948,418556,2024-10-22,0
143,KIA Spectra,2020,262856,400676,2024-09-21,0
144,Renault Logan,2024,25293,234,2024-12-09,0
145,Hyundai Accent,2020,301184,575268,2024-07-11,0
146,Chevrolet Aveo,2020,227132,414740,2024-05-02,0
147,Volkswagen Polo,2019,336070,648515,2024-11-06,0
148,KIA Spectra,2018,317630,678950,2024-07-13,0
149,Chevrolet Lacetti,2022,152818,299794,2024-05-29,0
150,Geely Tugella,2015,323390,542460,2024-07-10,0
151,Hyundai Solaris,2019,318655,593860,2024-12-13,0
152,Hyundai Solaris,2023,65981,106203,2024-06-27,0
153,KIA Spectra,2024,22991,16891,2024-04-18,0
154,Geely Tugella,2022,101392,285840,2024-07-17,0
155,Kia Rio,2022,153168,284224,2024-04-24,0
156,Hyundai Solaris,2017,271050,510335,2024-09-20,0
157,Hyundai Solaris,2021,162123,323142,2024-11-02,0
158,Chery Tiggo 4,2015,285760,731330,2024-07-08,0
159,Chery Tiggo 4,2019,279290,708115,2024-12-02,0
160,Volkswagen Polo,2015,339345,643850,2024-08-06,0
161,Kia Rio,2022,107880,239668,2024-10-25,0
162,Geely Tugella,2017,266110,506805,2024-10-29,0
163,Chevrolet Lacetti,2015,321110,683370,2024-07-13,0
164,Chevrolet Lacetti,2020,207440,511804,2024-04-06,0
165,Chery Tiggo 4,2022,125654,244732,2024-05-01,0
166,Renault Logan,2024,29724,21201,2024-08-25,0
167,Hyundai Solaris,2016,382615,579285,2024-09-08,0
168,Geely Tugella,2016,269600,731040,2024-11-16,0
169,Haval F7,2014,350375,532180,2024-11-19,0
170,Chery Tiggo 7 Pro,2024,28691,6497,2024-12-15,0
171,Renault Logan,2020,274628,468596,2024-04-08,0
172,Haval F7,2024,9188,6916,2024-11-25,0
173,Chery Tiggo 4,2019,251310,677495,2024-11-20,0
174,EXEED TXL,2020,245556,582884,2024-01-29,0
175,Kia Rio,2023,75974,147850,2024-03-04,0
176,Kia Rio,2020,232424,552172,2024-03-05,0
177,Chery Tiggo 4,2023,70630,146768,2024-11-14,0
178,Hyundai Accent,2014,327190,615490,2024-07-28,0
179,LADA (VAZ) Vesta,2020,223704,549552,2024-11-14,0
180,LADA (VAZ) Vesta,2024,23872,16848,2024-04-21,0
181,Geely Tugella,2023,59077,111725,2024-04-25,0
182,Hyundai Solaris,2013,392370,588220,2024-10-01,0
183,Renault Logan,2022,109162,241576,2024-05-14,0
184,Volkswagen Polo,2022,147176,200342,2024-06-28,0
185,KIA Spectra,2024,23545,6585,2024-02-23,0
186,Chery Tiggo 4,2020,236208,574596,2024-09-22,0
187,Chevrolet Lacetti,2019,313925,545190,2024-10-12,0
188,Chery Tiggo 7 Pro,2021,235623,333384,2024-03-26,0
189,Nissan Note,2019,356200,744050,2024-10-11,0
190,Geely Tugella,2015,373690,540195,2024-09-29,0
191,KIA Spectra,2023,56924,100842,2024-10-23,0
192,Chery Tiggo 7 Pro,2022,142140,292744,2024-01-24,0
193,Nissan Note,2021,165612,354573,2023-12-31,0
194,Hyundai Accent,2018,259085,611135,2024-07-18,0
195,Chery Tiggo 7 Pro,2022,122784,291516,2024-07-14,0
196,Hyundai Accent,2023,76901,125703,2024-12-14,0
197,Nissan Note,2014,300675,510600,2024-09-05,0
198,Haval F7,2022,158052,247716,2024-10-31,0
199,Chery Tiggo 7 Pro,2018,292640,732885,2024-07-25,0
200,Haval F7,2021,191550,331107,2024-06-02,0
201,Nissan Note,2023,79288,142765,2023-12-29,0
202,Haval F7,2017,322825,642335,2024-08-20,0
203,Kia Rio,2013,384235,696680,2024-10-01,0
204,Haval F7,2019,310110,525715,2024-12-15,0
205,EXEED TXL,2013,285985,741975,2024-07-23,0
206,KIA Spectra,2021,158055,400338,2024-09-23,0
207,Volkswagen Polo,2024,12580,8251,2024-04-23,0
208,Hyundai Accent,2022,158554,299438,2024-06-15,0
209,Hyundai Accent,2014,267670,571990,2024-08-18,0
210,Chevrolet Lacetti,2015,358015,648525,2024-07-12,0
211,Kia Rio,2023,71403,102031,2024-08-24,0
212,Volkswagen Polo,2014,294440,545960,2024-08-06,0
213,Chevrolet Aveo,2020,239896,549540,2024-12-13,0
214,KIA Spectra,2017,349010,708635,2024-11-27,0
215,Kia Rio,2024,20737,11016,2024-03-11,0
216,Chery Tiggo 7 Pro,2024,23193,28624,2024-03-09,0
217,Renault Logan,2017,358965,692980,2024-10-04,0
218,Volkswagen Polo,2021,177084,430845,2024-03-25,0
219,Haval F7,2021,171468,350607,2024-08-30,0
220,Kia Rio,2022,104278,264834,2024-05-13,0
221,Nissan Note,2021,182907,375915,2024-01-30,0
222,Nissan Note,2017,354560,527650,2024-10-11,0
223,Volkswagen Polo,2023,76131,130148,2024-02-17,0
224,Chevrolet Lacetti,2018,301395,542255,2024-07-02,0
225,Hyundai Accent,2021,167115,361473,2024-02-20,0
226,Volkswagen Polo,2013,388365,655380,2024-07-11,0
227,Chevrolet Aveo,2024,7365,22217,2024-05-30,0
228,Chery Tiggo 4,2019,390985,669600,2024-11-15,0
229,Chery Tiggo 7 Pro,2021,236364,435105,2024-08-09,0
230,Chery Tiggo 7 Pro,2019,335220,576095,2024-11-13,0
231,Chevrolet Lacetti,2022,124780,212630,2024-11-24,0
232,Kia Rio,2024,28722,5772,2024-09-01,0
233,LADA (VAZ) Vesta,2024,22563,24376,2024-01-29,0
234,Chery Tiggo 7 Pro,2016,268855,606145,2024-08-30,0
235,Hyundai Accent,2023,74769,110571,2024-03-16,0
236,KIA Spectra,2018,372785,595625,2024-11-14,0
237,Nissan Note,2015,308830,745980,2024-06-24,0
238,Nissan Note,2017,381540,687065,2024-11-17,0
239,EXEED TXL,2024,23378,13014,2024-08-01,0
240,KIA Spectra,2016,355015,636205,2024-10-06,0
241,Kia Rio,2018,367995,707545,2024-11-01,0
242,Nissan Note,2023,54827,118877,2024-04-04,0
243,Chery Tiggo 4,2024,23432,28446,2024-04-11,0
244,Hyundai Solaris,2022,114226,215642,2023-12-23,0
245,Hyundai Accent,2014,275285,696695,2024-10-23,0
246,Hyundai Solaris,2024,16132,16182,2024-06-07,0
247,Chery Tiggo 4,2022,100916,201254,2024-12-17,0
248,Haval F7,2023,74374,106264,2024-02-08,0
249,Chevrolet Aveo,2024,5942,18817,2024-07-13,0
250,Geely Tugella,2017,270450,631750,2024-12-16,0
251,Renault Logan,2021,176532,401601,2024-08-11,0
252,KIA Spectra,2023,51053,141765,2024-10-10,0
253,Renault Logan,2021,219300,369654,2024-03-02,0
254,Hyundai Accent,2021,161781,313548,2024-07-07,0
255,EXEED TXL,2015,272015,548045,2024-10-18,0
256,Chevrolet Lacetti,2020,232712,459468,2024-10-17,0
257,Chevrolet Aveo,2014,281380,651350,2024-11-28,0
258,KIA Spectra,2022,135968,241696,2024-05-12,0
259,Renault Logan,2013,340025,709085,2024-09-28,0
260,Chery Tiggo 4,2015,395860,713815,2024-09-24,0
261,Geely Tugella,2023,58505,143447,2024-01-03,0
262,Geely Tugella,2024,25926,24960,2024-03-10,0
263,KIA Spectra,2016,331940,747765,2024-11-09,0
264,Chery Tiggo 7 Pro,2020,223568,507628,2024-02-17,0
265,Nissan Note,2016,290185,670860,2024-08-01,0
266,Haval F7,2014,343470,629225,2024-11-15,0
267,Kia Rio,2018,311945,728125,2024-07-14,0
268,Geely Tugella,2016,364980,705460,2024-09-02,0
269,Chevrolet Aveo,2015,349255,621530,2024-08-30,0
270,Volkswagen Polo,2023,53709,148253,2024-08-03,0
271,Volkswagen Polo,2018,253380,552645,2024-11-01,0
272,Hyundai Accent,2020,256056,520568,2024-08-19,0
273,Hyundai Solaris,2019,334920,546670,2024-12-12,0
274,Chery Tiggo 4,2021,190296,444711,2024-03-23,0
275,Chery Tiggo 4,2021,179382,320889,2024-07-23,0
276,Hyundai Solaris,2020,270960,402604,2024-05-12,0
277,Chevrolet Lacetti,2021,206868,394200,2024-02-07,0
278,Geely Tugella,2021,230853,317895,2024-07-09,0
279,Nissan Note,2016,290965,724990,2024-10-08,0
280,LADA (VAZ) Vesta,2015,349645,543790,2024-10-23,0
281,EXEED TXL,2020,228988,584376,2024-11-20,0
282,Chery Tiggo 4,2019,332410,683870,2024-08-18,0
283,Haval F7,2021,221058,427785,2024-11-01,0
284,EXEED TXL,2020,255772,551780,2024-04-23,0
285,Hyundai Accent,2024,27325,14593,2024-11-26,0
286,Hyundai Solaris,2017,294100,709430,2024-12-04,0
287,Kia Rio,2017,397585,653600,2024-07-27,0
288,Chery Tiggo 7 Pro,2023,75034,143410,2024-04-22,0
289,Volkswagen Polo,2021,169164,354525,2024-09-16,0
290,LADA (VAZ) Vesta,2020,305168,453852,2024-03-27,0
291,Chevrolet Lacetti,2021,182715,315915,2024-08-21,0
292,KIA Spectra,2017,316925,736640,2024-10-22,0
293,Geely Tugella,2016,376020,662645,2024-07-19,0
294,Kia Rio,2022,102794,231274,2024-08-24,0
295,KIA Spectra,2021,208296,328179,2024-01-26,0
296,Chery Tiggo 4,2017,394370,635335,2024-10-25,0
297,Haval F7,2024,7690,3601,2024-08-05,0
298,Chevrolet Lacetti,2024,22214,9581,2024-10-26,0
299,Chevrolet Lacetti,2021,162951,321771,2024-01-16,0
300,Renault Logan,2018,297225,569210,2024-06-28,0
301,LADA (VAZ) Vesta,2016,268430,544370,2024-09-02,0
302,Nissan Note,2020,214060,517716,2024-01-03,0
303,Hyundai Solaris,2020,295512,447040,2024-02-21,0
304,LADA (VAZ) Vesta,2015,334560,544710,2024-07-15,0
305,Haval F7,2021,172290,345654,2024-01-28,0
306,Hyundai Accent,2015,318315,682595,2024-09-19,0
307,EXEED TXL,2021,219531,321045,2024-01-21,0
308,Volkswagen Polo,2013,359790,685305,2024-12-03,0
309,LADA (VAZ) Vesta,2022,140276,285356,2024-12-03,0
310,Geely Tugella,2017,270150,733060,2024-10-29,0
311,KIA Spectra,2023,69356,112183,2024-10-10,0
312,Hyundai Solaris,2021,236640,443463,2024-10-06,0
313,Hyundai Solaris,2024,22105,15375,2024-10-27,0
314,Hyundai Solaris,2024,6251,23234,2024-06-21,0
315,Chevrolet Lacetti,2021,156468,388728,2024-06-17,0
316,Geely Tugella,2019,281750,607165,2024-09-30,0
317,Renault Logan,2014,393500,720225,2024-08-09,0
318,Volkswagen Polo,2022,109426,254606,2024-07-15,0
319,Chery Tiggo 4,2020,261464,404052,2024-07-01,0
320,Hyundai Solaris,2020,293972,435104,2024-05-11,0
321,KIA Spectra,2020,308576,509688,2024-02-06,0
322,Chery Tiggo 4,2020,249616,502920,2024-08-09,0
323,Chery Tiggo 7 Pro,2021,169752,319557,2024-01-26,0
324,Chery Tiggo 7 Pro,2020,249928,400716,2024-08-08,0
325,Chevrolet Aveo,2021,175764,406317,2024-04-17,0
326,Hyundai Accent,2020,280468,434724,2024-09-03,0
327,Hyundai Solaris,2021,235398,396519,2024-02-01,0
328,Hyundai Accent,2021,153063,382758,2024-07-04,0
329,Renault Logan,2017,365125,660155,2024-07-23,0
330,Kia Rio,2024,20876,2602,2024-10-03,0
331,Renault Logan,2021,165825,333933,2024-06-24,0
332,Volkswagen Polo,2020,227044,463348,2024-04-19,0
333,Hyundai Accent,2020,318140,435984,2024-10-27,0
334,Hyundai Accent,2020,300488,417084,2024-02-05,0
335,Chery Tiggo 4,2023,65441,112661,2024-04-12,0
336,Haval F7,2023,77177,109530,2024-05-04,0
337,Chery Tiggo 4,2017,265450,664205,2024-11-10,0
338,Hyundai Solaris,2021,198825,410982,2024-03-22,0
339,Kia Rio,2023,51484,121034,2024-06-19,0
340,Hyundai Solaris,2021,220071,350475,2024-10-13,0
341,LADA (VAZ) Vesta,2016,338630,720370,2024-08-03,0
342,Volkswagen Polo,2020,217332,577192,2024-08-13,0
343,Volkswagen Polo,2021,226266,432816,2024-05-18,0
344,Hyundai Solaris,2022,137560,261682,2024-03-13,0
345,Nissan Note,2022,158332,299972,2024-09-25,0
346,Volkswagen Polo,2021,231342,396831,2024-02-26,0
347,Hyundai Accent,2018,329620,543475,2024-07-01,0
348,Chery Tiggo 7 Pro,2024,14108,16167,2024-08-03,0
349,LADA (VAZ) Vesta,2020,298532,433432,2023-12-21,0
350,Volkswagen Polo,2017,313300,539410,2024-11-14,0
351,LADA (VAZ) Vesta,2022,120504,289232,2024-02-16,0
352,Chery Tiggo 4,2024,5326,23229,2024-01-11,0
353,Renault Logan,2016,375575,692570,2024-11-29,0
354,Chevrolet Aveo,2017,361115,703605,2024-08-01,0
355,Kia Rio,2023,56771,106241,2024-06-08,0
356,Hyundai Solaris,2018,258665,587430,2024-09-26,0
357,Chery Tiggo 7 Pro,2017,355435,559435,2024-07-03,0
358,Chery Tiggo 4,2020,207224,427872,2024-08-05,0
359,EXEED TXL,2013,371520,613130,2024-10-13,0
360,KIA Spectra,2024,17907,8031,2024-02-05,0
361,Geely Tugella,2020,311672,564892,2024-03-29,0
362,Chery Tiggo 7 Pro,2023,69898,144380,2023-12-24,0
363,LADA (VAZ) Vesta,2019,255140,532835,2024-09-08,0
364,Chery Tiggo 4,2022,104400,229242,2024-08-03,0
365,Geely Tugella,2020,256220,511632,2024-03-08,0
366,Chery Tiggo 7 Pro,2021,181521,440520,2024-02-19,0
367,Chery Tiggo 7 Pro,2021,189921,441903,2024-03-05,0
368,Kia Rio,2024,20382,5968,2024-10-12,0
369,Haval F7,2014,307595,666485,2024-11-25,0
370,Geely Tugella,2023,75022,143621,2024-03-28,0
371,KIA Spectra,2021,234273,409119,2024-09-08,0
372,Volkswagen Polo,2021,220200,381552,2024-05-29,0
373,LADA (VAZ) Vesta,2020,247812,511504,2024-08-19,0
374,Chery Tiggo 4,2013,261640,656520,2024-10-05,0
375,Chevrolet Aveo,2023,61583,139407,2024-03-28,0
376,KIA Spectra,2015,371770,698535,2024-07-19,0
377,Hyundai Solaris,2023,78839,112877,2024-03-20,0
378,Renault Logan,2023,75419,103477,2024-02-07,0
379,KIA Spectra,2023,70758,104765,2024-06-03,0
380,Renault Logan,2024,11065,5144,2024-06-04,0
381,Kia Rio,2023,61446,109514,2024-03-18,0
382,Chery Tiggo 4,2024,10357,2123,2024-06-26,0
383,Chevrolet Lacetti,2013,266990,613570,2024-07-19,0
384,Nissan Note,2024,7164,1349,2024-10-27,0
385,Kia Rio,2019,320125,529900,2024-11-13,0
386,Haval F7,2019,260870,634530,2024-09-22,0
387,Hyundai Accent,2014,343750,510480,2024-08-13,0
388,Hyundai Solaris,2020,308980,511392,2024-03-06,0
389,Nissan Note,2021,236361,306318,2024-05-05,0
390,Volkswagen Polo,2019,344645,544030,2024-08-14,0
391,KIA Spectra,2022,145910,270054,2024-05-13,0
392,Chery Tiggo 4,2015,253325,627265,2024-10-09,0
393,Volkswagen Polo,2020,314984,409552,2024-08-02,0
394,Haval F7,2017,327585,747250,2024-09-19,0
395,Hyundai Solaris,2020,316968,479636,2024-11-24,0
396,EXEED TXL,2016,362920,530835,2024-08-20,0
397,Renault Logan,2019,376670,693830,2024-08-29,0
398,Nissan Note,2024,20111,20020,2024-05-07,0
399,Haval F7,2021,165705,344901,2024-07-18,0
400,Hyundai Accent,2013,253555,604120,2024-06-22,0
401,KIA Spectra,2023,51376,108919,2024-10-20,0
402,EXEED TXL,2023,78247,117578,2024-11-08,0
403,Kia Rio,2021,166935,300540,2024-03-24,0
404,Chevrolet Lacetti,2021,199674,375633,2024-10-27,0
405,Chery Tiggo 4,2022,102284,228772,2024-08-10,0
406,Renault Logan,2022,119838,200822,2024-05-27,0
407,KIA Spectra,2021,152877,376155,2024-06-26,0
408,Volkswagen Polo,2014,304945,581290,2024-11-28,0
409,Hyundai Solaris,2024,27152,18942,2024-09-21,0
410,Hyundai Accent,2024,22935,18296,2024-09-10,0
411,Hyundai Solaris,2020,201008,559052,2024-08-06,0
412,KIA Spectra,2018,336120,677085,2024-07-28,0
413,Kia Rio,2024,29363,12154,2024-05-01,0
414,Haval F7,2023,50546,132776,2024-09-03,0
415,Chery Tiggo 7 Pro,2024,22560,16185,2024-03-20,0
416,Renault Logan,2018,293020,746055,2024-09-29,0
417,Geely Tugella,2019,320770,619640,2024-11-15,0
418,KIA Spectra,2014,308965,618390,2024-06-24,0
419,Chery Tiggo 7 Pro,2017,284785,688910,2024-11-17,0
420,EXEED TXL,2022,141410,276860,2024-04-01,0
421,LADA (VAZ) Vesta,2021,231600,319845,2024-08-25,0
422,Nissan Note,2024,2238,9632,2023-12-24,0
423,Nissan Note,2022,105986,253882,2024-11-07,0
424,Hyundai Accent,2022,156956,200626,2024-04-15,0
425,Haval F7,2020,200080,468696,2024-05-28,0
426,Kia Rio,2023,50093,129832,2024-04-19,0
427,Haval F7,2017,284475,563035,2024-07-02,0
428,LADA (VAZ) Vesta,2024,15504,11764,2024-06-29,0
429,Kia Rio,2022,115302,212216,2024-02-29,0
430,LADA (VAZ) Vesta,2018,342445,544585,2024-12-02,0
431,EXEED TXL,2024,15206,1581,2024-04-10,0
432,LADA (VAZ) Vesta,2020,305804,436200,2024-03-16,0
433,EXEED TXL,2014,350140,539730,2024-10-23,0
434,Volkswagen Polo,2014,393285,682855,2024-08-02,0
435,Chery Tiggo 7 Pro,2024,27510,24371,2024-02-22,0
436,Nissan Note,2022,136214,211768,2024-12-13,0
437,Chevrolet Lacetti,2020,240944,592336,2024-09-18,0
438,LADA (VAZ) Vesta,2021,229146,439431,2024-09-19,0
439,EXEED TXL,2018,375540,721640,2024-09-11,0
440,Chery Tiggo 4,2023,56699,135127,2024-09-23,0
441,Haval F7,2020,209052,442380,2024-05-15,0
442,Chevrolet Aveo,2016,253205,683240,2024-07-09,0
443,Kia Rio,2023,69440,124765,2024-03-21,0
444,Chery Tiggo 7 Pro,2015,255335,504870,2024-11-08,0
445,Chevrolet Lacetti,2016,330930,576635,2024-11-28,0
446,Hyundai Accent,2018,259875,505215,2024-11-04,0
447,LADA (VAZ) Vesta,2019,291620,725005,2024-09-21,0
448,Haval F7,2020,231740,449056,2024-08-23,0
449,Haval F7,2019,302945,748990,2024-07-01,0
450,Kia Rio,2018,311970,605150,2024-07-30,0
451,Nissan Note,2021,226887,358281,2024-10-19,0
452,Kia Rio,2017,297155,719615,2024-07-28,0
453,Haval F7,2014,316165,715465,2024-08-15,0
454,Hyundai Solaris,2021,188592,431628,2024-11-05,0
455,KIA Spectra,2023,60822,132297,2024-03-04,0
456,Haval F7,2015,297325,593915,2024-09-06,0
457,Chery Tiggo 7 Pro,2022,133046,226012,2024-06-20,0
458,EXEED TXL,2024,24533,29858,2024-10-31,0
459,Hyundai Accent,2019,305410,728915,2024-12-14,0
460,Chery Tiggo 4,2024,23847,23272,2024-11-05,0
461,Chevrolet Lacetti,2022,144544,209638,2024-11-18,0
462,KIA Spectra,2021,157146,310881,2024-09-05,0
463,LADA (VAZ) Vesta,2018,339815,633215,2024-09-07,0
464,EXEED TXL,2021,161442,382614,2024-03-05,0
465,Hyundai Solaris,2016,327225,570470,2024-07-13,0
466,Geely Tugella,2016,270665,749685,2024-09-03,0
467,Nissan Note,2024,28615,2029,2024-03-04,0
468,Kia Rio,2024,2601,11200,2024-01-13,0
469,Kia Rio,2020,306264,533484,2024-01-30,0
470,EXEED TXL,2022,111560,232834,2024-05-25,0
471,Chevrolet Aveo,2024,24811,1379,2024-01-09,0
472,Volkswagen Polo,2023,79859,104198,2024-10-28,0
